Sample,condition,Run,model
Sample_RPFN2_S31_Run1,Control,one,~condition
Sample_RPFN2_S31_Run2,Control,two,
Sample_RPFN4_S32_Run1,Control,one,
Sample_RPFN4_S32_Run2,Control,two,
Sample_RPFN8_S33_Run1,Control,one,
Sample_RPFN8_S33_Run2,Control,two,
Sample_RPFN17_S34_Run1,Control,one,
Sample_RPFN17_S34_Run2,Control,two,
Sample_RPFN20_S35_Run1,Control,one,
Sample_RPFN20_S35_Run2,Control,two,
Sample_RPFN24_S36_Run1,Control,one,
Sample_RPFN24_S36_Run2,Control,two,
Sample_RPFN28_S37_Run1,Control,one,
Sample_RPFN28_S37_Run2,Control,two,
Sample_RPFN29_S38_Run1,Control,one,
Sample_RPFN29_S38_Run2,Control,two,
Sample_RPFN35_S39_Run1,Control,one,
Sample_RPFN35_S39_Run2,Control,one,
Sample_RPFN37_S40_Run1,Control,one,
Sample_RPFN37_S40_Run2,Control,two,
Sample_RPFN1_S20_Run1,Blast,one,
Sample_RPFN1_S20_Run2,Blast,two,
Sample_RPFN3_S21_Run1,Blast,one,
Sample_RPFN3_S21_Run2,Blast,two,
Sample_RPFN5_S22_Run1,Blast,one,
Sample_RPFN5_S22_Run2,Blast,two,
Sample_RPFN7_S23_Run1,Blast,one,
Sample_RPFN7_S23_Run2,Blast,two,
Sample_RPFN9_S24_Run1,Blast,one,
Sample_RPFN9_S24_Run2,Blast,two,
Sample_RPFN11_S25_Run1,Blast,one,
Sample_RPFN11_S25_Run2,Blast,two,
Sample_RPFN12_S19_Run1,Blast,one,
Sample_RPFN12_S19_Run2,Blast,two,
Sample_RPFN23_S26_Run1,Blast,one,
Sample_RPFN23_S26_Run2,Blast,two,
Sample_RPFN25_S27_Run1,Blast,one,
Sample_RPFN25_S27_Run2,Blast,two,
Sample_RPFN33_S28_Run1,Blast,one,
Sample_RPFN33_S28_Run2,Blast,two,
Sample_RPFN36_S29_Run1,Blast,one,
Sample_RPFN36_S29_Run2,Blast,two,
Sample_RPFN38_S30_Run1,Blast,one,
Sample_RPFN38_S30_Run2,Blast,two,
