Sample,Condition,Run,model
Sample_Run1HR62_S1_Run1,groupa,one,~Condition
Sample_Run2HR62_S1_Run2,groupa,two,
Sample_Run1HR70_S2_Run1,groupa,one,
Sample_Run2HR70_S2_Run2,groupa,two,
Sample_Run1HR78_S3_Run1,groupa,one,
Sample_Run2HR78_S3_Run2,groupa,two,
Sample_Run1HR81_S4_Run1,groupa,one,
Sample_Run2HR81_S4_Run2,groupa,two,
Sample_Run1HR87_S5_Run1,groupa,one,
Sample_Run2HR87_S5_Run2,groupa,two,
Sample_Run1HR99_S6_Run1,groupa,one,
Sample_Run2HR99_S6_Run2,groupa,two,
Sample_Run1HR107_S7_Run1,groupa,one,
Sample_Run2HR107_S7_Run2,groupa,two,
Sample_Run1HR114_S8_Run1,groupa,one,
Sample_Run2HR114_S8_Run2,groupa,two,
Sample_Run1HR142_S17_Run1,groupa,one,
Sample_Run2HR142_S17_Run2,groupa,two,
Sample_Run1HR146_S18_Run1,groupa,one,
Sample_Run2HR146_S18_Run2,groupa,two,
Sample_Run1HR61_S9_Run1,groupb,one,
Sample_Run2HR61_S9_Run2,groupb,two,
Sample_Run1HR71_S11_Run1,groupb,one,
Sample_Run2HR71_S11_Run2,groupb,two,
Sample_Run1HR74_S41_Run1,groupb,one,
Sample_Run2HR74_S41_Run2,groupb,two,
Sample_Run1HR80_S12_Run1,groupb,one,
Sample_Run2HR80_S12_Run2,groupb,two,
Sample_Run1HR86_S13_Run1,groupb,one,
Sample_Run2HR86_S13_Run2,groupb,two,
Sample_Run1HR115_S14_Run1,groupb,one,
Sample_Run2HR115_S14_Run2,groupb,two,
Sample_Run1HR121_S15_Run1,groupb,one,
Sample_Run2HR121_S15_Run2,groupb,two,
Sample_Run1HR127_S16_Run1,groupb,one,
Sample_Run2HR127_S16_Run2,groupb,two,
Sample_Run2HR66_S10_Run2,groupb,two,
Sample_Run1HR66_S10_Run1,groupb,one,
