log2FoldChange	SYMBOL	GENENAME	baseMean	padj	Row.names
1.1252377659746093	TMEM176A	transmembrane protein 176A	143.24963181755052	5.485098877176833e-8	ENSG00000002933
1.4896051677939302	PHF7	PHD finger protein 7	28.75643289808116	0.0018904690674028085	ENSG00000010318
-1.049334454483587	DCN	decorin	10683.567841856147	2.2576056718571678e-40	ENSG00000011465
1.4803193053716623	CYP24A1	cytochrome P450 family 24 subfamily A member 1	405.4542420792307	5.1099435659465485e-31	ENSG00000019186
-1.108285955817363	LRRC7	leucine rich repeat containing 7	43.60675888280862	0.006155305957081945	ENSG00000033122
1.1120961458349627	LAMP3	lysosomal associated membrane protein 3	44.76409981213764	0.004370974363562863	ENSG00000078081
-1.2880948682634172	COL19A1	collagen type XIX alpha 1 chain	381.36998426360634	1.0394074918479655e-19	ENSG00000082293
-1.4854642708122434	WNT11	Wnt family member 11	47.151478593948646	6.378266094900894e-5	ENSG00000085741
1.0055170049084385	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	349.5628332770253	4.699625938572156e-14	ENSG00000087116
1.3868277162649623	PHGDH	phosphoglycerate dehydrogenase	319.03229625990235	2.505007999568133e-22	ENSG00000092621
2.0617026221779167	R3HDML	R3H domain containing like	25.94777792826234	7.274457728928213e-5	ENSG00000101074
1.0770257018578888	TRIB3	tribbles pseudokinase 3	120.66904661145426	3.0489436946582857e-6	ENSG00000101255
1.500169560937285	SLC7A5	solute carrier family 7 member 5	1914.0190506943811	1.0400340899357497e-70	ENSG00000103257
1.0800920347249572	IL21R	interleukin 21 receptor	90.38810898651295	5.5402443241073655e-5	ENSG00000103522
1.3080758471937883	KCNN4	potassium calcium-activated channel subfamily N member 4	47.507811515058165	5.742882627658545e-4	ENSG00000104783
1.1218180494490106	SERPINE1	serpin family E member 1	1062.0895945495458	1.8442962878719478e-26	ENSG00000106366
-1.2223310709210804	CXCL12	C-X-C motif chemokine ligand 12	107.2020060027721	1.2112322816872666e-7	ENSG00000107562
-1.1557974532037998	B3GAT2	beta-1,3-glucuronyltransferase 2	53.3501900788623	0.0020354184953651896	ENSG00000112309
1.0762263737782938	SLC22A2	solute carrier family 22 member 2	147.3532653651092	1.0289897382327522e-7	ENSG00000112499
-1.1715776595779133	CLIC5	chloride intracellular channel 5	940.627159735666	4.638797557528186e-36	ENSG00000112782
-1.2011815412723459	BCHE	butyrylcholinesterase	50.48167704798986	0.0014071894979480973	ENSG00000114200
1.096476172961267	WNT6	Wnt family member 6	46.07597182642713	0.0035689589393860174	ENSG00000115596
-1.7224247566043243	MYB	MYB proto-oncogene, transcription factor	48.23403018386722	9.808743144905539e-6	ENSG00000118513
-1.290608004276789	PTGFR	prostaglandin F receptor	112.82745457959484	3.924979836594622e-9	ENSG00000122420
1.1030518864308267	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5	37.6146009535112	0.019072049301548242	ENSG00000123243
-1.2229591080913549	COL21A1	collagen type XXI alpha 1 chain	40.686946093683076	0.0030167511815114216	ENSG00000124749
1.0157009079650647	RASL11B	RAS like family 11 member B	77.74657395338993	4.5604673809284947e-4	ENSG00000128045
2.1694571322713676	ADM2	adrenomedullin 2	30.890703009360823	2.632710045097188e-6	ENSG00000128165
1.6657102076931891	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1	116.4799328795355	4.552242230362087e-13	ENSG00000128965
-1.2190613049369434	FOXJ1	forkhead box J1	25.852283792967604	0.03707015120508162	ENSG00000129654
1.175863526663038	PSAT1	phosphoserine aminotransferase 1	1397.4299942612213	3.2503656854192044e-28	ENSG00000135069
-1.0264100909640448	ARHGAP20	Rho GTPase activating protein 20	59.471011401032015	0.00458055972237961	ENSG00000137727
-1.1022849247123891	CHRNA1	cholinergic receptor nicotinic alpha 1 subunit	30.880564502018366	0.034781783959052404	ENSG00000138435
-1.3777941322022558	FRAS1	Fraser extracellular matrix complex subunit 1	183.49614369022672	1.6982309813340048e-13	ENSG00000138759
1.389452978690042	INHBE	inhibin subunit beta E	27.808324537678207	0.018307032808101677	ENSG00000139269
1.2002226326495962	WARS1	tryptophanyl-tRNA synthetase 1	4768.080218950906	2.2305837770399074e-31	ENSG00000140105
-1.083761776202354	OSR1	odd-skipped related transcription factor 1	273.5306650461579	2.4924306585752975e-12	ENSG00000143867
1.4707887752197837	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	32.51453633957358	0.003134545399347511	ENSG00000145536
-1.2228660802098499	LIX1	limb and CNS expressed 1	138.2691630482306	3.7656217560256996e-10	ENSG00000145721
1.0005584312866063	KCNMB1	potassium calcium-activated channel subfamily M regulatory beta subunit 1	40.04057325051736	0.023409218064600258	ENSG00000145936
1.731338951575151	IGFBP3	insulin like growth factor binding protein 3	897.9231128113904	5.600852528159511e-52	ENSG00000146674
1.1636445270520557	ANKRD1	ankyrin repeat domain 1	171.79225054910611	3.766239044542633e-9	ENSG00000148677
-1.4770374652465208	ADGRL3	adhesion G protein-coupled receptor L3	119.0450170200212	3.7125396673960773e-9	ENSG00000150471
1.477659230148318	TEX29	testis expressed 29	27.554357162113703	0.004877845764322041	ENSG00000153495
-1.0944973506396285	FGD5	FYVE, RhoGEF and PH domain containing 5	150.48748298661303	2.7303390595190105e-8	ENSG00000154783
