target_id	length	eff_length	est_counts	tpm
ENSMMUT00000085913.1	378	194.065	0	0
ENSMMUT00000096925.1	354	171.949	0	0
ENSMMUT00000086702.1	354	171.949	1	0.525457
ENSMMUT00000103209.1	372	188.473	0	0
ENSMMUT00000091584.1	336	155.691	0	0
ENSMMUT00000095663.1	336	155.691	0	0
ENSMMUT00000095240.1	336	155.691	0	0
ENSMMUT00000100853.1	252	86.9196	0	0
ENSMMUT00000041640.3	348	166.489	0	0
ENSMMUT00000104099.1	339	158.374	1	0.570498
ENSMMUT00000079906.1	336	155.691	0	0
ENSMMUT00000104266.1	267	98.154	0	0
ENSMMUT00000100496.1	336	155.691	0	0
ENSMMUT00000101173.1	336	155.691	0	0
ENSMMUT00000101507.1	333	153.092	0	0
ENSMMUT00000091100.1	336	155.691	0	0
ENSMMUT00000091126.1	342	160.978	0	0
ENSMMUT00000110216.1	312	134.706	0	0
ENSMMUT00000076832.2	312	134.706	0	0
ENSMMUT00000059612.2	381	196.886	0	0
ENSMMUT00000087073.1	345	163.735	0	0
ENSMMUT00000105898.1	336	155.691	0	0
ENSMMUT00000029687.4	324	145.085	0	0
ENSMMUT00000074474.2	264	95.836	0	0
ENSMMUT00000083837.1	327	147.703	0	0
ENSMMUT00000087765.1	384	199.715	0	0
ENSMMUT00000079645.1	303	127.145	0	0
ENSMMUT00000103566.1	336	155.691	0	0
ENSMMUT00000058545.2	315	137.231	0	0
ENSMMUT00000084154.1	348	166.489	0	0
ENSMMUT00000104946.1	369	185.673	0	0
ENSMMUT00000019781.4	324	145.085	0	0
ENSMMUT00000059595.2	339	158.374	0	0
ENSMMUT00000015080.4	339	158.374	0	0
ENSMMUT00000060034.2	339	158.374	0	0
ENSMMUT00000100005.1	336	155.691	0	0
ENSMMUT00000057435.2	336	155.691	0	0
ENSMMUT00000105887.1	324	145.085	0	0
ENSMMUT00000089700.1	330	150.384	0	0
ENSMMUT00000062327.2	300	124.59	0	0
ENSMMUT00000080312.1	330	150.384	0	0
ENSMMUT00000100217.1	288	114.699	0	0
ENSMMUT00000101004.1	282	109.898	0	0
ENSMMUT00000080274.1	339	158.374	0	0
ENSMMUT00000107887.1	285	112.371	0	0
ENSMMUT00000106934.1	306	129.603	0	0
ENSMMUT00000022584.4	336	155.691	0	0
ENSMMUT00000057840.2	327	147.703	0	0
ENSMMUT00000099333.1	267	98.154	1	0.920511
ENSMMUT00000102989.1	330	150.384	0	0
ENSMMUT00000091727.1	429	242.599	38.3158	14.27
ENSMMUT00000015725.4	138	23.7337	6	22.8414
ENSMMUT00000029420.4	372	188.473	0	0
ENSMMUT00000093076.1	144	26.1649	0.5	1.72659
ENSMMUT00000029418.4	372	188.473	7	3.35572
ENSMMUT00000104094.1	144	26.1649	0.5	1.72659
ENSMMUT00000087861.1	429	242.599	13.6842	5.09644
ENSMMUT00000015644.4	126	19.3262	0	0
ENSMMUT00000105574.1	306	129.603	1	0.697142
ENSMMUT00000028269.4	1047	858.385	1	0.105258
ENSMMUT00000044200.3	1071	882.385	1.00825	0.10324
ENSMMUT00000077282.2	306	129.603	0	0
ENSMMUT00000060416.2	339	158.374	3	1.71149
ENSMMUT00000002570.4	324	145.085	0	0
ENSMMUT00000097498.1	390	205.406	0	0
ENSMMUT00000091507.1	390	205.406	0	0
ENSMMUT00000101206.1	318	139.917	0	0
ENSMMUT00000089831.1	306	129.603	0	0
ENSMMUT00000080784.1	306	129.603	0	0
ENSMMUT00000082221.1	387	202.592	0	0
ENSMMUT00000092826.1	318	139.917	0	0
ENSMMUT00000061104.2	273	102.854	0	0
ENSMMUT00000087692.1	375	191.251	0	0
ENSMMUT00000085207.1	321	142.538	0	0
ENSMMUT00000100252.1	390	205.406	0	0
ENSMMUT00000073444.2	318	139.917	0	0
ENSMMUT00000109370.1	309	132.095	0	0
ENSMMUT00000110108.1	306	129.603	0	0
ENSMMUT00000097844.1	306	129.603	0	0
ENSMMUT00000068680.2	360	177.349	0	0
ENSMMUT00000080380.1	375	191.251	0	0
ENSMMUT00000106111.1	306	129.603	0	0
ENSMMUT00000079680.1	300	124.59	1	0.725193
ENSMMUT00000042905.3	303	127.145	0	0
ENSMMUT00000096018.1	381	196.886	0	0
ENSMMUT00000086558.1	258	91.3551	0	0
ENSMMUT00000098546.1	237	76.0109	0	0
ENSMMUT00000043087.3	369	185.673	0	0
ENSMMUT00000090269.1	363	180.075	0	0
ENSMMUT00000093016.1	375	191.251	0	0
ENSMMUT00000097344.1	321	142.538	0	0
ENSMMUT00000084098.1	321	142.538	0	0
ENSMMUT00000108312.1	390	205.406	0	0
ENSMMUT00000095339.1	321	142.538	0	0
ENSMMUT00000090979.1	321	142.538	0	0
ENSMMUT00000026611.4	276	105.282	0	0
ENSMMUT00000096507.1	336	155.691	0	0
ENSMMUT00000089654.1	333	153.092	0	0
ENSMMUT00000099346.1	339	158.374	0	0
ENSMMUT00000083962.1	339	158.374	0	0
ENSMMUT00000102777.1	312	134.706	0	0
ENSMMUT00000096138.1	339	158.374	0	0
ENSMMUT00000090407.1	339	158.374	0	0
ENSMMUT00000107832.1	339	158.374	0	0
ENSMMUT00000107892.1	339	158.374	0	0
ENSMMUT00000043342.3	288	114.699	0	0
ENSMMUT00000108652.1	339	158.374	0	0
ENSMMUT00000096438.1	339	158.374	0	0
ENSMMUT00000091272.1	312	134.706	0	0
ENSMMUT00000106245.1	312	134.706	0	0
ENSMMUT00000088199.1	312	134.706	0	0
ENSMMUT00000084187.1	312	134.706	0	0
ENSMMUT00000067133.2	360	177.349	0	0
ENSMMUT00000103659.1	312	134.706	0	0
ENSMMUT00000073700.2	312	134.706	0	0
ENSMMUT00000060359.2	354	171.949	0	0
ENSMMUT00000089264.1	375	191.251	0	0
ENSMMUT00000099352.1	387	202.592	0	0
ENSMMUT00000105948.1	342	160.978	0	0
ENSMMUT00000105287.1	387	202.592	0	0
ENSMMUT00000097025.1	375	191.251	0	0
ENSMMUT00000085380.1	339	158.374	0	0
ENSMMUT00000105900.1	339	158.374	0	0
ENSMMUT00000083596.1	306	129.603	0	0
ENSMMUT00000097938.1	303	127.145	0	0
ENSMMUT00000006416.4	306	129.603	0	0
ENSMMUT00000100343.1	390	205.406	0	0
ENSMMUT00000028267.4	330	150.384	0	0
ENSMMUT00000093266.1	285	112.371	0	0
ENSMMUT00000100074.1	390	205.406	0	0
ENSMMUT00000015959.4	354	171.949	0	0
ENSMMUT00000100791.1	390	205.406	0	0
ENSMMUT00000090079.1	306	129.603	0	0
ENSMMUT00000088453.1	321	142.538	0	0
ENSMMUT00000097796.1	306	129.603	0	0
ENSMMUT00000095778.1	306	129.603	0	0
ENSMMUT00000100086.1	306	129.603	0	0
ENSMMUT00000110083.1	330	150.384	0	0
ENSMMUT00000073093.2	357	174.71	0	0
ENSMMUT00000090801.1	330	150.384	0	0
ENSMMUT00000097273.1	330	150.384	0	0
ENSMMUT00000095452.1	387	202.592	0	0
ENSMMUT00000105829.1	330	150.384	0	0
ENSMMUT00000100383.1	351	169.195	0	0
ENSMMUT00000033106.4	366	182.89	0	0
ENSMMUT00000033105.3	330	150.384	0	0
ENSMMUT00000092978.1	411	225.247	1	0.401123
ENSMMUT00000088024.1	354	171.949	0	0
ENSMMUT00000093801.1	300	124.59	0	0
ENSMMUT00000090667.1	66	15.6757	0	0
ENSMMUT00000088766.1	66	15.6757	0	0
ENSMMUT00000109108.1	57	20.75	0	0
ENSMMUT00000109361.1	75	11.52	0	0
ENSMMUT00000105059.1	78	12.024	0	0
ENSMMUT00000081749.1	78	12.024	0	0
ENSMMUT00000090564.1	69	14.3	0	0
ENSMMUT00000104532.1	72	13.6769	0	0
ENSMMUT00000094008.1	72	13.6769	0	0
ENSMMUT00000109570.1	66	15.6757	0	0
ENSMMUT00000107534.1	72	13.6769	0	0
ENSMMUT00000082090.1	63	15.8	0	0
ENSMMUT00000079793.1	66	15.6757	0	0
ENSMMUT00000102612.1	72	13.6769	0	0
ENSMMUT00000102149.1	66	15.6757	0	0
ENSMMUT00000097811.1	87	10.956	0	0
ENSMMUT00000084879.1	66	15.6757	0	0
ENSMMUT00000097638.1	69	14.3	0	0
ENSMMUT00000092835.1	57	20.75	0	0
ENSMMUT00000084747.1	54	18.9333	0	0
ENSMMUT00000100036.1	66	15.6757	0	0
ENSMMUT00000032773.4	2681	2492.39	36.6971	1.33031
ENSMMUT00000000911.4	1944	1755.39	207.843	10.6979
ENSMMUT00000094839.1	4141	3952.39	107.157	2.44963
ENSMMUT00000000912.4	1554	1365.39	0	0
ENSMMUT00000000909.4	3015	2826.39	337.819	10.7991
ENSMMUT00000086541.1	3090	2901.39	153.458	4.77884
ENSMMUT00000076044.2	2868	2679.39	0	0
ENSMMUT00000000907.4	2474	2285.39	118.381	4.68014
ENSMMUT00000067005.2	3087	2898.39	313.711	9.77936
ENSMMUT00000072117.2	1721	1532.39	95.9083	5.6549
ENSMMUT00000085924.1	1207	1018.39	31.9128	2.83133
ENSMMUT00000085307.1	5938	5749.39	0	0
ENSMMUT00000088433.1	5557	5368.39	53.7247	0.904206
ENSMMUT00000066249.2	856	667.424	0	0
ENSMMUT00000044548.3	851	662.424	0	0
ENSMMUT00000089114.1	701	512.424	0	0
ENSMMUT00000082745.1	4051	3862.39	30.784	0.720123
ENSMMUT00000027267.4	954	765.424	0	0
ENSMMUT00000104666.1	975	786.385	0	0
ENSMMUT00000054747.2	939	750.424	0	0
ENSMMUT00000024422.4	951	762.424	0	0
ENSMMUT00000103326.1	936	747.424	0	0
ENSMMUT00000082351.1	918	729.424	0	0
ENSMMUT00000098383.1	948	759.424	0	0
ENSMMUT00000088670.1	975	786.385	0	0
ENSMMUT00000058794.2	1110	921.385	0	0
ENSMMUT00000095732.1	927	738.424	0	0
ENSMMUT00000014496.4	939	750.424	0	0
ENSMMUT00000001109.4	936	747.424	0	0
ENSMMUT00000085285.1	963	774.424	0	0
ENSMMUT00000089744.1	1962	1773.39	5.85635	0.298374
ENSMMUT00000024892.4	939	750.424	0	0
ENSMMUT00000100177.1	939	750.424	0	0
ENSMMUT00000104725.1	939	750.424	1	0.120401
ENSMMUT00000107198.1	939	750.424	0	0
ENSMMUT00000086404.1	939	750.424	0	0
ENSMMUT00000057647.2	939	750.424	0	0
ENSMMUT00000105592.1	939	750.424	0	0
ENSMMUT00000083994.1	1888	1699.39	15.791	0.839565
ENSMMUT00000007832.4	945	756.424	0	0
ENSMMUT00000007831.4	1832	1643.39	30	1.64937
ENSMMUT00000008692.4	5850	5661.39	12.4025	0.197935
ENSMMUT00000101037.1	1789	1600.39	36.1146	2.0389
ENSMMUT00000109069.1	876	687.424	0	0
ENSMMUT00000098742.1	960	771.424	0	0
ENSMMUT00000088481.1	945	756.424	0	0
ENSMMUT00000086075.1	2001	1812.39	0	0
ENSMMUT00000022726.4	927	738.424	0	0
ENSMMUT00000022727.4	924	735.424	0	0
ENSMMUT00000109500.1	776	587.424	5	0.769051
ENSMMUT00000080009.1	1820	1631.39	6	0.332301
ENSMMUT00000008337.4	408	222.36	1	0.406332
ENSMMUT00000018164.4	1023	834.385	0	0
ENSMMUT00000098900.1	1461	1272.39	8.17677	0.580631
ENSMMUT00000008332.4	954	765.424	0	0
ENSMMUT00000074048.2	3951	3762.39	135	3.24196
ENSMMUT00000008331.4	3455	3266.39	0	0
ENSMMUT00000027507.4	2509	2320.39	128	4.9841
