log2FoldChange,SYMBOL,GENENAME,baseMean,padj,Row.names
0.018640864655141066,TSPAN6,tetraspanin 6,638.8906796589695,0.9734288076374406,ENSG00000000003
-0.09483881429523545,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic",1221.201809938658,0.7221288027434668,ENSG00000000419
-0.10006455012697249,SCYL3,SCY1 like pseudokinase 3,214.67019561269282,0.8488104426498441,ENSG00000000457
-0.43202709045319,C1orf112,chromosome 1 open reading frame 112,302.3631326401309,0.00816589193447382,ENSG00000000460
-0.5397663634809129,CFH,complement factor H,80.97000204795712,0.14254714953221728,ENSG00000000971
-0.05671525419880278,FUCA2,alpha-L-fucosidase 2,1507.4818998400954,0.839127870516049,ENSG00000001036
-0.155392786593417,GCLC,glutamate-cysteine ligase catalytic subunit,1479.09889970243,0.2789606613788806,ENSG00000001084
-0.14251489636745768,NFYA,nuclear transcription factor Y subunit alpha,1778.9192206218443,0.3957244872403706,ENSG00000001167
0.3035136043278416,STPG1,sperm tail PG-rich repeat containing 1,93.89128778037164,0.5406791825478666,ENSG00000001460
0.08376270821320925,NIPAL3,NIPA like domain containing 3,770.7629595825689,0.780955884405907,ENSG00000001461
0.07333674174974425,LAS1L,LAS1 like ribosome biogenesis factor,1344.1806338314432,0.7797461862902566,ENSG00000001497
-0.2896512772996043,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4,1079.5223384070796,0.019149465593763036,ENSG00000001561
-0.07591258228474174,SEMA3F,semaphorin 3F,28.567065495981804,0.9707023456538253,ENSG00000001617
-0.06754483056328528,ANKIB1,ankyrin repeat and IBR domain containing 1,1647.4451617480802,0.7955629548040964,ENSG00000001629
-0.05671680418136515,CYP51A1,cytochrome P450 family 51 subfamily A member 1,72.92915582361191,0.9678526133075137,ENSG00000001630
-0.20300156877364697,KRIT1,KRIT1 ankyrin repeat containing,218.73463976445896,0.5584229874267335,ENSG00000001631
-0.062206970933633504,RAD52,"RAD52 homolog, DNA repair protein",178.29383791965597,0.935499988253441,ENSG00000002016
0.1099777720109215,BAD,BCL2 associated agonist of cell death,348.0337546579208,0.8268710304061273,ENSG00000002330
-0.08522747192263849,LAP3,leucine aminopeptidase 3,2267.2937097240388,0.7157277029471698,ENSG00000002549
0.1017728244856463,CD99,CD99 molecule (Xg blood group),3258.1375218390494,0.7726733838722472,ENSG00000002586
0.14045152583308482,AOC1,amine oxidase copper containing 1,73.37026546469194,0.8765756608395026,ENSG00000002726
0.24597467237090284,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",1907.7288846957813,0.01334358708412036,ENSG00000002746
0.27523717146674737,MAD1L1,mitotic arrest deficient 1 like 1,43.23673959362309,0.812355665334678,ENSG00000002822
0.05760766819922651,LASP1,LIM and SH3 protein 1,6483.251958687952,0.7921184414995376,ENSG00000002834
0.10161259835582875,SNX11,sorting nexin 11,699.133039245008,0.7312015410169505,ENSG00000002919
1.1252377659746093,TMEM176A,transmembrane protein 176A,143.24963181755052,5.485098877176833e-8,ENSG00000002933
0.04448483611371949,M6PR,"mannose-6-phosphate receptor, cation dependent",3027.5073271665033,0.8771145454021949,ENSG00000003056
-0.25827316745220347,KLHL13,kelch like family member 13,266.10757686296347,0.3548089405975171,ENSG00000003096
-0.7381182700587584,CYP26B1,cytochrome P450 family 26 subfamily B member 1,36.306281685229294,0.21257529910877954,ENSG00000003137
0.36147736536561315,ICA1,islet cell autoantigen 1,344.92372247450663,0.040793275373234475,ENSG00000003147
-0.059018790431751254,DBNDD1,dysbindin domain containing 1,462.7876871627433,0.8892866828135925,ENSG00000003249
-0.0659861599143021,ALS2,alsin Rho guanine nucleotide exchange factor ALS2,1302.3019495631563,0.8134315862650782,ENSG00000003393
0.07102868785683569,CFLAR,CASP8 and FADD like apoptosis regulator,1137.5646409426988,0.8228218053675962,ENSG00000003402
-0.17329237592242822,TFPI,tissue factor pathway inhibitor,226.45087949295333,0.7021412284667048,ENSG00000003436
-0.11198664578427532,NDUFAF7,NADH:ubiquinone oxidoreductase complex assembly factor 7,316.506880956185,0.8003600509785568,ENSG00000003509
-0.006694375480829341,RBM5,RNA binding motif protein 5,1104.745826857331,0.9888850530607509,ENSG00000003756
-0.45854228437447386,MTMR7,myotubularin related protein 7,29.991080448040133,0.6607467081202136,ENSG00000003987
-0.4875513954664989,SLC7A2,solute carrier family 7 member 2,328.0590487966215,0.006184979160645519,ENSG00000003989
0.14277867253541396,ARF5,ADP ribosylation factor 5,1406.6566744837123,0.6242913753353176,ENSG00000004059
-0.011885587472923348,SARM1,sterile alpha and TIR motif containing 1,170.78752603783383,0.9880149046906193,ENSG00000004139
9.607214649336791e-4,POLDIP2,DNA polymerase delta interacting protein 2,2241.598477550404,0.9978217246522556,ENSG00000004142
0.30440827108306995,PLXND1,plexin D1,642.2230707259541,0.02418449484063701,ENSG00000004399
0.03218063199395532,AK2,adenylate kinase 2,1519.4764739757868,0.9322619792270113,ENSG00000004455
0.14960226733693524,FKBP4,FKBP prolyl isomerase 4,5403.69086827829,0.2593655087582407,ENSG00000004478
0.08507951513625046,KDM1A,lysine demethylase 1A,1799.9087842357212,0.6989669499026995,ENSG00000004487
-0.09996028187555789,RBM6,RNA binding motif protein 6,895.9948657503313,0.7793645246041786,ENSG00000004534
0.19788288700379225,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1,128.1133778144496,0.6982649144876064,ENSG00000004660
-0.028649103519256872,RECQL,RecQ like helicase,1519.2861054855819,0.9354017571474539,ENSG00000004700
-0.08185940280544528,VPS50,VPS50 subunit of EARP/GARPII complex,408.1438694060121,0.841583522671663,ENSG00000004766
-0.2632921409367125,ARHGAP33,Rho GTPase activating protein 33,87.63076631678521,0.689138836985415,ENSG00000004777
-0.016960484679104236,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,1374.8473455341975,0.9783626573768485,ENSG00000004779
-0.32700399647571987,PDK4,pyruvate dehydrogenase kinase 4,219.61848514384212,0.19262788644427276,ENSG00000004799
-0.15099795254940512,SLC25A13,solute carrier family 25 member 13,1141.95107789754,0.32114002706551437,ENSG00000004864
-0.18303745715329586,ST7,suppression of tumorigenicity 7,506.9738040967343,0.37315702087918745,ENSG00000004866
-0.18303745715329586,ST7-OT3,ST7 overlapping transcript 3,506.9738040967343,0.37315702087918745,ENSG00000004866
-0.14687860245357734,CDC27,cell division cycle 27,3054.5193199042596,0.2304394723956746,ENSG00000004897
0.046092054134979625,HCCS,holocytochrome c synthase,1581.0988032735615,0.894446553174417,ENSG00000004961
-0.11276153990846545,DVL2,dishevelled segment polarity protein 2,940.1955337293979,0.6074437697593765,ENSG00000004975
0.09847763398611016,UPF1,UPF1 RNA helicase and ATPase,2360.903480612296,0.6059529404243184,ENSG00000005007
-0.038731960108829386,SKAP2,src kinase associated phosphoprotein 2,2484.030229545767,0.9033741025643939,ENSG00000005020
-0.040984632862950794,SLC25A5,solute carrier family 25 member 5,8280.24942976397,0.9080831773322677,ENSG00000005022
0.007982572659607935,MCUB,mitochondrial calcium uniporter dominant negative beta subunit,322.13330179506613,0.9915898994903555,ENSG00000005059
0.16415454602515422,POLR2J,RNA polymerase II subunit J,372.3101881339661,0.6526658119855099,ENSG00000005075
0.06854432441740384,DHX33,DEAH-box helicase 33,769.4644769662775,0.8556526763737021,ENSG00000005100
-0.32668474073418424,MEOX1,mesenchyme homeobox 1,22.324126369692635,0.8199382360994215,ENSG00000005102
-0.9151103923533378,THSD7A,thrombospondin type 1 domain containing 7A,575.621801802253,1.87086245095909e-9,ENSG00000005108
0.042229867583162994,LIG3,DNA ligase 3,1212.918826255187,0.9075870708642613,ENSG00000005156
