target_id	length	eff_length	est_counts	tpm
ENSMMUT00000085913.1	378	197.955	0	0
ENSMMUT00000096925.1	354	175.658	0	0
ENSMMUT00000086702.1	354	175.658	0	0
ENSMMUT00000103209.1	372	192.37	1	0.372721
ENSMMUT00000091584.1	336	159.354	0	0
ENSMMUT00000095663.1	336	159.354	0	0
ENSMMUT00000095240.1	336	159.354	0	0
ENSMMUT00000100853.1	252	89.2745	0	0
ENSMMUT00000041640.3	348	170.127	0	0
ENSMMUT00000104099.1	339	161.973	0	0
ENSMMUT00000079906.1	336	159.354	0	0
ENSMMUT00000104266.1	267	100.865	0	0
ENSMMUT00000100496.1	336	159.354	0	0
ENSMMUT00000101173.1	336	159.354	0	0
ENSMMUT00000101507.1	333	156.656	0	0
ENSMMUT00000091100.1	336	159.354	0	0
ENSMMUT00000091126.1	342	164.653	0	0
ENSMMUT00000110216.1	312	138.001	0	0
ENSMMUT00000076832.2	312	138.001	0	0
ENSMMUT00000059612.2	381	200.804	0	0
ENSMMUT00000087073.1	345	167.448	0	0
ENSMMUT00000105898.1	336	159.354	0	0
ENSMMUT00000029687.4	324	148.554	0	0
ENSMMUT00000074474.2	264	98.5341	0	0
ENSMMUT00000083837.1	327	151.281	0	0
ENSMMUT00000087765.1	384	203.599	0	0
ENSMMUT00000079645.1	303	130.276	0	0
ENSMMUT00000103566.1	336	159.354	0	0
ENSMMUT00000058545.2	315	140.577	0	0
ENSMMUT00000084154.1	348	170.127	5	2.10726
ENSMMUT00000104946.1	369	189.506	0	0
ENSMMUT00000019781.4	324	148.554	0	0
ENSMMUT00000059595.2	339	161.973	0	0
ENSMMUT00000015080.4	339	161.973	5	2.21335
ENSMMUT00000060034.2	339	161.973	0	0
ENSMMUT00000100005.1	336	159.354	0	0
ENSMMUT00000057435.2	336	159.354	0	0
ENSMMUT00000105887.1	324	148.554	0	0
ENSMMUT00000089700.1	330	154.067	8	3.72309
ENSMMUT00000062327.2	300	127.626	0	0
ENSMMUT00000080312.1	330	154.067	0	0
ENSMMUT00000100217.1	288	117.75	0	0
ENSMMUT00000101004.1	282	112.751	0	0
ENSMMUT00000080274.1	339	161.973	0	0
ENSMMUT00000107887.1	285	115.173	0	0
ENSMMUT00000106934.1	306	132.872	3	1.61886
ENSMMUT00000022584.4	336	159.354	0	0
ENSMMUT00000057840.2	327	151.281	0	0
ENSMMUT00000099333.1	267	100.865	0	0
ENSMMUT00000102989.1	330	154.067	0	0
ENSMMUT00000091727.1	429	246.813	42.1667	12.2496
ENSMMUT00000015725.4	138	24.6152	13	37.8671
ENSMMUT00000029420.4	372	192.37	0	0
ENSMMUT00000093076.1	144	27.088	0	0
ENSMMUT00000029418.4	372	192.37	5	1.8636
ENSMMUT00000104094.1	144	27.088	8	21.1755
ENSMMUT00000087861.1	429	246.813	12.8333	3.72814
ENSMMUT00000015644.4	126	20.2175	0	0
ENSMMUT00000105574.1	306	132.872	19	10.2528
ENSMMUT00000028269.4	1047	862.712	0	0
ENSMMUT00000044200.3	1071	886.712	1.08012	0.0873395
ENSMMUT00000077282.2	306	132.872	0	0
ENSMMUT00000060416.2	339	161.973	3	1.32801
ENSMMUT00000002570.4	324	148.554	0	0
ENSMMUT00000097498.1	390	209.368	0	0
ENSMMUT00000091507.1	390	209.368	0	0
ENSMMUT00000101206.1	318	143.331	0	0
ENSMMUT00000089831.1	306	132.872	0	0
ENSMMUT00000080784.1	306	132.872	0	0
ENSMMUT00000082221.1	387	206.505	0	0
ENSMMUT00000092826.1	318	143.331	0	0
ENSMMUT00000061104.2	273	105.539	0	0
ENSMMUT00000087692.1	375	195.085	0	0
ENSMMUT00000085207.1	321	145.984	0	0
ENSMMUT00000100252.1	390	209.368	0	0
ENSMMUT00000073444.2	318	143.331	0	0
ENSMMUT00000109370.1	309	135.418	0	0
ENSMMUT00000110108.1	306	132.872	0	0
ENSMMUT00000097844.1	306	132.872	0	0
ENSMMUT00000068680.2	360	181.167	0	0
ENSMMUT00000080380.1	375	195.085	0	0
ENSMMUT00000106111.1	306	132.872	0	0
ENSMMUT00000079680.1	300	127.626	0	0
ENSMMUT00000042905.3	303	130.276	0	0
ENSMMUT00000096018.1	381	200.804	0	0
ENSMMUT00000086558.1	258	93.8472	0	0
ENSMMUT00000098546.1	237	78.779	0	0
ENSMMUT00000043087.3	369	189.506	0	0
ENSMMUT00000090269.1	363	183.943	0	0
ENSMMUT00000093016.1	375	195.085	0.5	0.183767
ENSMMUT00000097344.1	321	145.984	0	0
ENSMMUT00000084098.1	321	145.984	0	0
ENSMMUT00000108312.1	390	209.368	0	0
ENSMMUT00000095339.1	321	145.984	2	0.982306
ENSMMUT00000090979.1	321	145.984	0	0
ENSMMUT00000026611.4	276	107.914	0	0
ENSMMUT00000096507.1	336	159.354	0	0
ENSMMUT00000089654.1	333	156.656	0	0
ENSMMUT00000099346.1	339	161.973	0	0
ENSMMUT00000083962.1	339	161.973	0	0
ENSMMUT00000102777.1	312	138.001	0	0
ENSMMUT00000096138.1	339	161.973	0	0
ENSMMUT00000090407.1	339	161.973	0	0
ENSMMUT00000107832.1	339	161.973	0	0
ENSMMUT00000107892.1	339	161.973	0	0
ENSMMUT00000043342.3	288	117.75	0	0
ENSMMUT00000108652.1	339	161.973	0	0
ENSMMUT00000096438.1	339	161.973	0	0
ENSMMUT00000091272.1	312	138.001	0	0
ENSMMUT00000106245.1	312	138.001	0	0
ENSMMUT00000088199.1	312	138.001	0	0
ENSMMUT00000084187.1	312	138.001	0	0
ENSMMUT00000067133.2	360	181.167	0	0
ENSMMUT00000103659.1	312	138.001	0	0
ENSMMUT00000073700.2	312	138.001	0	0
ENSMMUT00000060359.2	354	175.658	0	0
ENSMMUT00000089264.1	375	195.085	0.5	0.183767
ENSMMUT00000099352.1	387	206.505	0	0
ENSMMUT00000105948.1	342	164.653	0	0
ENSMMUT00000105287.1	387	206.505	0	0
ENSMMUT00000097025.1	375	195.085	0	0
ENSMMUT00000085380.1	339	161.973	0	0
ENSMMUT00000105900.1	339	161.973	0	0
ENSMMUT00000083596.1	306	132.872	0	0
ENSMMUT00000097938.1	303	130.276	0	0
ENSMMUT00000006416.4	306	132.872	0	0
ENSMMUT00000100343.1	390	209.368	0	0
ENSMMUT00000028267.4	330	154.067	0	0
ENSMMUT00000093266.1	285	115.173	0	0
ENSMMUT00000100074.1	390	209.368	0	0
ENSMMUT00000015959.4	354	175.658	0	0
ENSMMUT00000100791.1	390	209.368	0	0
ENSMMUT00000090079.1	306	132.872	0	0
ENSMMUT00000088453.1	321	145.984	0	0
ENSMMUT00000097796.1	306	132.872	0	0
ENSMMUT00000095778.1	306	132.872	0	0
ENSMMUT00000100086.1	306	132.872	0	0
ENSMMUT00000110083.1	330	154.067	0	0
ENSMMUT00000073093.2	357	178.387	0	0
ENSMMUT00000090801.1	330	154.067	0	0
ENSMMUT00000097273.1	330	154.067	0	0
ENSMMUT00000095452.1	387	206.505	0	0
ENSMMUT00000105829.1	330	154.067	0	0
ENSMMUT00000100383.1	351	172.863	0	0
ENSMMUT00000033106.4	366	186.707	0	0
ENSMMUT00000033105.3	330	154.067	0	0
ENSMMUT00000092978.1	411	229.34	6	1.87582
ENSMMUT00000088024.1	354	175.658	0	0
ENSMMUT00000093801.1	300	127.626	0	0
ENSMMUT00000090667.1	66	12.5091	0	0
ENSMMUT00000088766.1	66	12.5091	0	0
ENSMMUT00000109108.1	57	16.8636	0	0
ENSMMUT00000109361.1	75	11.6667	0	0
ENSMMUT00000105059.1	78	11.521	0	0
ENSMMUT00000081749.1	78	11.521	0	0
ENSMMUT00000090564.1	69	12.1644	0	0
ENSMMUT00000104532.1	72	12.6111	0	0
ENSMMUT00000094008.1	72	12.6111	0	0
ENSMMUT00000109570.1	66	12.5091	0	0
ENSMMUT00000107534.1	72	12.6111	0	0
ENSMMUT00000082090.1	63	15.6	0	0
ENSMMUT00000079793.1	66	12.5091	0	0
ENSMMUT00000102612.1	72	12.6111	0	0
ENSMMUT00000102149.1	66	12.5091	0	0
ENSMMUT00000097811.1	87	10.7571	0	0
ENSMMUT00000084879.1	66	12.5091	0	0
ENSMMUT00000097638.1	69	12.1644	0	0
ENSMMUT00000092835.1	57	16.8636	0	0
ENSMMUT00000084747.1	54	17.1111	0	0
ENSMMUT00000100036.1	66	12.5091	0	0
ENSMMUT00000032773.4	2681	2496.71	0	0
ENSMMUT00000000911.4	1944	1759.71	188.751	7.69078
ENSMMUT00000094839.1	4141	3956.71	87.0044	1.57662
ENSMMUT00000000912.4	1554	1369.71	10.2442	0.536251
ENSMMUT00000000909.4	3015	2830.71	194.987	4.93892
ENSMMUT00000086541.1	3090	2905.71	346.394	8.54749
ENSMMUT00000076044.2	2868	2683.71	50.213	1.34154
ENSMMUT00000000907.4	2474	2289.71	147.307	4.61281
ENSMMUT00000067005.2	3087	2902.71	384.454	9.49647
ENSMMUT00000072117.2	1721	1536.71	99.2384	4.6303
ENSMMUT00000085924.1	1207	1022.71	77.2171	5.41355
ENSMMUT00000085307.1	5938	5753.71	0	0
ENSMMUT00000088433.1	5557	5372.71	56.1183	0.748916
ENSMMUT00000066249.2	856	671.752	0	0
ENSMMUT00000044548.3	851	666.752	0	0
ENSMMUT00000089114.1	701	516.778	0	0
ENSMMUT00000082745.1	4051	3866.71	49.1127	0.910696
ENSMMUT00000027267.4	954	769.752	0	0
ENSMMUT00000104666.1	975	790.752	0	0
ENSMMUT00000054747.2	939	754.752	0	0
ENSMMUT00000024422.4	951	766.752	0	0
ENSMMUT00000103326.1	936	751.752	0	0
ENSMMUT00000082351.1	918	733.752	0	0
ENSMMUT00000098383.1	948	763.752	0	0
ENSMMUT00000088670.1	975	790.752	0	0
ENSMMUT00000058794.2	1110	925.712	0	0
ENSMMUT00000095732.1	927	742.752	0	0
ENSMMUT00000014496.4	939	754.752	0	0
ENSMMUT00000001109.4	936	751.752	0	0
ENSMMUT00000085285.1	963	778.752	0	0
ENSMMUT00000089744.1	1962	1777.71	3.21229	0.129561
ENSMMUT00000024892.4	939	754.752	0	0
ENSMMUT00000100177.1	939	754.752	0	0
ENSMMUT00000104725.1	939	754.752	0	0
ENSMMUT00000107198.1	939	754.752	0	0
ENSMMUT00000086404.1	939	754.752	0	0
ENSMMUT00000057647.2	939	754.752	0	0
ENSMMUT00000105592.1	939	754.752	0	0
ENSMMUT00000083994.1	1888	1703.71	15.3765	0.647119
ENSMMUT00000007832.4	945	760.752	0	0
ENSMMUT00000007831.4	1832	1647.71	11	0.478667
ENSMMUT00000008692.4	5850	5665.71	11.673	0.147724
ENSMMUT00000101037.1	1789	1604.71	50.6117	2.26139
ENSMMUT00000109069.1	876	691.752	0	0
ENSMMUT00000098742.1	960	775.752	0	0
ENSMMUT00000088481.1	945	760.752	0	0
ENSMMUT00000086075.1	2001	1816.71	0	0
ENSMMUT00000022726.4	927	742.752	0	0
ENSMMUT00000022727.4	924	739.752	0	0
ENSMMUT00000109500.1	776	591.752	5	0.605831
ENSMMUT00000080009.1	1820	1635.71	21	0.920522
ENSMMUT00000008337.4	408	226.467	0	0
ENSMMUT00000018164.4	1023	838.712	0	0
ENSMMUT00000098900.1	1461	1276.71	22.0299	1.2372
ENSMMUT00000008332.4	954	769.752	0	0
ENSMMUT00000074048.2	3951	3766.71	93	1.77028
ENSMMUT00000008331.4	3455	3270.71	0	0
ENSMMUT00000027507.4	2509	2324.71	85	2.62163
ENSMMUT00000084437.1	1035	850.712	58.8994	4.96421
ENSMMUT00000089355.1	4343	4158.71	334.317	5.76397
ENSMMUT00000080117.1	4355	4170.71	10.8092	0.185825
ENSMMUT00000106522.1	1417	1232.71	4.43454	0.257934
ENSMMUT00000006456.4	861	676.752	22.7356	2.40879
ENSMMUT00000094634.1	597	412.905	412.648	71.6557
ENSMMUT00000046436.3	1801	1616.71	172.581	7.65388
ENSMMUT00000044534.3	1146	961.712	15.9263	1.18738
ENSMMUT00000096014.1	1374	1189.71	70	4.21869
ENSMMUT00000105042.1	1143	958.712	7.15076	0.534793
ENSMMUT00000058831.2	2147	1962.71	2.6079	0.0952699
ENSMMUT00000006201.3	1935	1750.71	6.47688	0.265261
ENSMMUT00000110364.1	7011	6826.71	0	0
ENSMMUT00000023043.4	6700	6515.71	153.275	1.68667
ENSMMUT00000097799.1	6697	6512.71	1.33553	0.0147032
ENSMMUT00000089453.1	6676	6491.71	755.39	8.34321
ENSMMUT00000086927.1	1738	1553.71	255.417	11.787
ENSMMUT00000108512.1	2792	2607.71	1694.1	46.5802
ENSMMUT00000086709.1	1924	1739.71	550.554	22.6905
ENSMMUT00000031237.4	1500	1315.71	448.346	24.4329
ENSMMUT00000099343.1	1849	1664.71	1.09667	0.0472346
ENSMMUT00000090338.1	1302	1117.71	68.4668	4.39209
ENSMMUT00000097600.1	1125	940.712	4	0.304877
ENSMMUT00000091391.1	1540	1355.71	40.4192	2.13768
ENSMMUT00000001955.4	1308	1123.71	0	0
ENSMMUT00000076496.2	3558	3373.71	1138	24.1855
ENSMMUT00000091541.1	1064	879.712	60.3099	4.91553
ENSMMUT00000094107.1	3004	2819.71	106.215	2.70087
ENSMMUT00000044519.3	3830	3645.71	0	0
ENSMMUT00000015937.4	3743	3558.71	0	0
ENSMMUT00000106143.1	3595	3410.71	400.663	8.42278
ENSMMUT00000095095.1	2652	2467.71	58.7663	1.70748
ENSMMUT00000003678.4	1140	955.712	5	0.375115
ENSMMUT00000087829.1	1920	1735.71	0	0
ENSMMUT00000101527.1	6024	5839.71	435.046	5.34153
ENSMMUT00000080472.1	2331	2146.71	33.2741	1.11136
ENSMMUT00000008109.4	1287	1102.71	154.31	10.0336
ENSMMUT00000103505.1	2122	1937.71	55.7304	2.06217
ENSMMUT00000100197.1	2162	1977.71	0	0
ENSMMUT00000092133.1	564	379.984	5.63776	1.06381
ENSMMUT00000044514.3	558	374.041	0	0
ENSMMUT00000103214.1	1607	1422.71	0	0
ENSMMUT00000087309.1	4223	4038.71	384.006	6.81737
ENSMMUT00000090796.1	2016	1831.71	105.59	4.13322
ENSMMUT00000011388.4	4161	3976.71	1563.4	28.1883
ENSMMUT00000075346.2	6324	6139.71	0.00249525	2.91399e-05
ENSMMUT00000024356.4	6284	6099.71	5.9975	0.070499
ENSMMUT00000012371.4	2919	2734.71	0	0
ENSMMUT00000015994.4	567	382.984	3.78387	0.708398
ENSMMUT00000083175.1	1057	872.712	183.33	15.062
ENSMMUT00000105699.1	879	694.752	15.2562	1.57448
ENSMMUT00000015996.4	486	302.547	14.6302	3.4672
ENSMMUT00000032568.4	801	616.752	245	28.4824
ENSMMUT00000088441.1	3083	2898.71	40.8749	1.01105
ENSMMUT00000043360.3	201	55.4532	270	349.107
ENSMMUT00000044504.3	5942	5757.71	4723.6	58.8227
ENSMMUT00000029673.4	2539	2354.71	842.4	25.6509
ENSMMUT00000045727.3	798	613.752	0	0
ENSMMUT00000085649.1	4463	4278.71	111.57	1.86963
ENSMMUT00000075457.2	1726	1541.71	265.556	12.3502
ENSMMUT00000044503.3	393	212.229	140.444	47.4481
ENSMMUT00000086362.1	1025	840.712	113.331	9.66546
ENSMMUT00000099013.1	1017	832.712	0	0
ENSMMUT00000107358.1	2229	2044.71	0	0
ENSMMUT00000045407.3	2510	2325.71	247.834	7.64058
ENSMMUT00000091007.1	2263	2078.71	22.062	0.76098
ENSMMUT00000103145.1	2121	1936.71	39.3721	1.45762
